EventName,Fare,TypeOfTrip,Ratings,description,Link,Event_Type
32. Roe & Co Distillery,,Distilleries,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d17593600-Reviews-Roe_Co_Distillery-Dublin_County_Dublin.html,Activites
33. Marsh's Library,,Libraries,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214988-Reviews-Marsh_s_Library-Dublin_County_Dublin.html,Activites
34. Pearse Lyons Distillery,,Distilleries,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d12833684-Reviews-Pearse_Lyons_Distillery-Dublin_County_Dublin.html,Activites
35. Experience Gaelic Games,,Sports Camps & Clinics,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d1903191-Reviews-Experience_Gaelic_Games-Dublin_County_Dublin.html,Activites
36. Windmill Lane Recording Studios,,Speciality Museums,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d18965904-Reviews-Windmill_Lane_Recording_Studios-Dublin_County_Dublin.html,Activites
37. National Leprechaun Museum,,Speciality Museums,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d1748229-Reviews-National_Leprechaun_Museum-Dublin_County_Dublin.html,Activites
38. Abbey Theatre,,Theatres,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d190937-Reviews-Abbey_Theatre-Dublin_County_Dublin.html,Activites
39. Dublin City Gallery The Hugh Lane,,Art Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d187624-Reviews-Dublin_City_Gallery_The_Hugh_Lane-Dublin_County_Dublin.html,Activites
40. Bord Gáis Energy Theatre,,Theatres,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3864904-Reviews-Bord_Gais_Energy_Theatre-Dublin_County_Dublin.html,Activites
41. Dublin Mountains,,Mountains,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216536-Reviews-Dublin_Mountains-Dublin_County_Dublin.html,Activites
42. Molly Malone Statue,,Monuments & Statues,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216332-Reviews-Molly_Malone_Statue-Dublin_County_Dublin.html,Activites
43. Awesome Walls,,Sports Complexes,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3634037-Reviews-Awesome_Walls-Dublin_County_Dublin.html,Activites
44. Ha'penny Bridge,,Bridges,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216272-Reviews-Ha_penny_Bridge-Dublin_County_Dublin.html,Activites
45. Merrion Square,,Points of Interest & Landmarks,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216329-Reviews-Merrion_Square-Dublin_County_Dublin.html,Activites
46. Gaiety Theatre,,Theatres,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d774873-Reviews-Gaiety_Theatre-Dublin_County_Dublin.html,Activites
47. Croke Park Stadium,,Arenas & Stadiums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d4916253-Reviews-Croke_Park_Stadium-Dublin_County_Dublin.html,Activites
